vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-10-23T16:36:07.000,2019-10-23T16:49:15.000,1,1.82,1,N,148,249,1,10,1,0.5,2.86,0,0.3,17.16,2.5
2,2019-10-23T16:52:22.000,2019-10-23T17:11:44.000,1,1.79,1,N,90,170,1,13,1,0.5,3.46,0,0.3,20.76,2.5
2,2019-10-23T16:05:19.000,2019-10-23T16:18:04.000,1,1.24,1,N,163,141,1,9.5,1,0.5,3.45,0,0.3,17.25,2.5
2,2019-10-23T16:19:22.000,2019-10-23T16:30:38.000,1,1.08,1,N,141,162,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:49:07.000,2019-10-23T17:42:43.000,1,10.65,1,N,161,138,1,38,1,0.5,12.1,6.12,0.3,60.52,2.5
2,2019-10-23T16:03:44.000,2019-10-23T16:14:30.000,1,3.20,1,N,66,255,1,12,0,0.5,2.56,0,0.3,15.36,0
2,2019-10-23T16:21:06.000,2019-10-23T16:29:12.000,1,1.63,1,N,112,145,2,8,1,0.5,0,0,0.3,9.8,0
2,2019-10-23T16:05:56.000,2019-10-23T16:20:30.000,1,2.00,1,N,170,249,1,11,1,0.5,3.06,0,0.3,18.36,2.5
2,2019-10-23T16:11:22.000,2019-10-23T17:21:52.000,1,9.77,1,N,138,162,1,46.5,1,0.5,5,6.12,0.3,61.92,2.5
2,2019-10-23T16:07:13.000,2019-10-23T16:27:24.000,2,2.31,1,N,100,114,2,13.5,0,0.5,0,0,0.3,16.8,2.5
2,2019-10-23T16:37:13.000,2019-10-23T16:43:45.000,1,0.96,1,N,107,233,2,6,1,0.5,0,0,0.3,10.3,2.5
2,2019-10-23T16:45:48.000,2019-10-23T17:09:20.000,1,3.02,1,N,233,75,1,16.5,1,0.5,3.12,0,0.3,23.92,2.5
2,2019-10-23T16:05:28.000,2019-10-23T16:11:38.000,2,0.82,1,N,107,234,1,6,1,0.5,2.06,0,0.3,12.36,2.5
2,2019-10-23T16:13:41.000,2019-10-23T16:25:14.000,2,1.08,1,N,234,100,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:31:41.000,2019-10-23T16:34:31.000,2,0.64,1,N,164,234,1,4.5,1,0.5,0,0,0.3,8.8,2.5
2,2019-10-23T16:12:07.000,2019-10-23T16:20:19.000,1,1.57,1,N,166,238,1,8,1,0.5,1.96,0,0.3,11.76,0
2,2019-10-23T16:20:51.000,2019-10-23T16:32:15.000,2,1.65,1,N,238,237,1,9.5,1,0.5,2.76,0,0.3,16.56,2.5
1,2019-10-23T16:28:57.000,2019-10-23T17:02:06.000,1,2.50,1,N,68,13,1,19.5,3.5,0.5,4.75,0,0.3,28.55,2.5
1,2019-10-23T16:18:07.000,2019-10-23T16:27:38.000,2,1.10,1,N,163,161,2,7.5,3.5,0.5,0,0,0.3,11.8,2.5
1,2019-10-23T16:32:50.000,2019-10-23T16:49:25.000,1,0.70,1,N,161,163,2,11,3.5,0.5,0,0,0.3,15.3,2.5
1,2019-10-23T16:02:46.000,2019-10-23T16:36:55.000,1,4.00,1,N,163,231,1,22,3.5,0.5,0,0,0.3,26.3,2.5
1,2019-10-23T16:46:21.000,2019-10-23T17:02:42.000,1,5.60,1,N,13,107,1,19,3.5,0.5,2,0,0.3,25.3,2.5
1,2019-10-23T16:31:48.000,2019-10-23T16:49:14.000,1,2.20,1,N,161,246,1,12.5,3.5,0.5,3.35,0,0.3,20.15,2.5
1,2019-10-23T16:51:31.000,2019-10-23T17:08:17.000,2,1.40,1,N,246,107,1,11,3.5,0.5,2.6,0,0.3,17.9,2.5
1,2019-10-23T16:37:30.000,2019-10-23T16:51:10.000,2,1.30,1,N,234,68,1,9.5,3.5,0.5,2.75,0,0.3,16.55,2.5
1,2019-10-23T16:52:30.000,2019-10-23T17:05:30.000,2,1.40,1,N,68,186,2,9.5,3.5,0.5,0,0,0.3,13.8,2.5
2,2019-10-23T16:40:30.000,2019-10-23T17:33:27.000,1,14.03,1,N,138,132,1,46,1,0.5,9.56,0,0.3,57.36,0
1,2019-10-23T16:55:18.000,2019-10-23T17:00:08.000,1,0.60,1,N,107,79,1,5,3.5,0.5,1.85,0,0.3,11.15,2.5
2,2019-10-23T16:12:44.000,2019-10-23T16:41:51.000,1,1.82,1,N,246,161,1,18,1,0.5,4.46,0,0.3,26.76,2.5
2,2019-10-23T16:43:24.000,2019-10-23T17:09:18.000,1,2.32,1,N,161,239,1,17,1,0.5,4.26,0,0.3,25.56,2.5
2,2019-10-23T16:08:12.000,2019-10-23T16:20:24.000,1,2.16,1,N,262,162,1,10.5,1,0.5,1,0,0.3,15.8,2.5
2,2019-10-23T16:24:38.000,2019-10-23T16:48:07.000,1,1.30,1,N,162,186,1,14,1,0.5,3.66,0,0.3,21.96,2.5
2,2019-10-23T16:50:48.000,2019-10-23T17:15:32.000,1,2.53,1,N,186,142,1,16,1,0.5,3.04,0,0.3,23.34,2.5
2,2019-10-23T16:00:07.000,2019-10-23T16:04:19.000,2,0.69,1,N,148,79,2,5,1,0.5,0,0,0.3,9.3,2.5
2,2019-10-23T16:08:07.000,2019-10-23T16:17:19.000,3,1.19,1,N,107,233,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:08:49.000,2019-10-23T16:31:17.000,2,5.33,1,N,65,198,2,20.5,1,0.5,0,0,0.3,22.3,0
1,2019-10-23T16:15:37.000,2019-10-23T16:38:39.000,1,2.00,1,N,170,237,2,15,3.5,0.5,0,0,0.3,19.3,2.5
1,2019-10-23T16:43:12.000,2019-10-23T17:25:28.000,1,7.30,1,N,236,231,1,32.5,3.5,0.5,6,0,0.3,42.8,2.5
2,2019-10-23T16:21:47.000,2019-10-23T16:37:28.000,2,2.01,1,N,163,236,1,11.5,1,0.5,1,0,0.3,16.8,2.5
2,2019-10-23T16:40:11.000,2019-10-23T16:57:45.000,3,2.04,1,N,263,239,1,12.5,1,0.5,1.68,0,0.3,18.48,2.5
2,2019-10-23T16:13:24.000,2019-10-23T17:24:22.000,1,19.71,2,N,132,140,1,52,4.5,0.5,13.18,6.12,0.3,79.1,2.5
2,2019-10-23T16:26:40.000,2019-10-23T16:53:52.000,1,3.21,1,N,237,90,1,18,1,0.5,4.46,0,0.3,26.76,2.5
2,2019-10-23T16:55:19.000,2019-10-23T17:12:59.000,1,1.45,1,N,249,230,2,12,1,0.5,0,0,0.3,16.3,2.5
2,2019-10-23T16:16:13.000,2019-10-23T16:18:51.000,2,0.48,1,N,164,230,1,4,1,0.5,2.08,0,0.3,10.38,2.5
2,2019-10-23T16:22:54.000,2019-10-23T16:28:13.000,2,0.61,1,N,43,142,1,5.5,1,0.5,1.96,0,0.3,11.76,2.5
2,2019-10-23T16:32:36.000,2019-10-23T16:45:29.000,2,2.13,1,N,142,151,1,10.5,1,0.5,1.48,0,0.3,16.28,2.5
2,2019-10-23T16:48:27.000,2019-10-23T16:55:29.000,2,0.52,1,N,151,166,1,6,1,0.5,1.56,0,0.3,9.36,0
1,2019-10-23T16:37:53.000,2019-10-23T17:00:30.000,1,0.70,1,N,162,163,2,13.5,3.5,0.5,0,0,0.3,17.8,2.5
2,2019-10-23T16:17:31.000,2019-10-23T17:28:38.000,2,18.20,2,N,132,43,1,52,4.5,0.5,5.5,6.12,0.3,71.42,2.5
1,2019-10-23T16:55:04.000,2019-10-23T17:16:37.000,1,2.70,1,N,50,158,3,15,3.5,0.5,0,0,0.3,19.3,2.5
1,2019-10-23T16:07:36.000,2019-10-23T16:28:26.000,1,2.90,1,N,161,249,2,14.5,3.5,0.5,0,0,0.3,18.8,2.5
1,2019-10-23T16:39:55.000,2019-10-23T17:02:58.000,1,3.80,1,N,234,145,2,16.5,3.5,0.5,0,6.12,0.3,26.92,2.5
2,2019-10-23T16:56:16.000,2019-10-23T17:03:44.000,1,1.03,1,N,41,42,1,7,1,0.5,0,0,0.3,8.8,0
2,2019-10-23T16:37:57.000,2019-10-23T17:48:18.000,1,20.21,2,N,132,236,2,52,4.5,0.5,0,6.12,0.3,63.42,0
2,2019-10-23T16:02:35.000,2019-10-23T17:18:34.000,2,21.16,2,N,132,239,1,52,4.5,0.5,16.48,6.12,0.3,82.4,2.5
2,2019-10-23T16:16:31.000,2019-10-23T16:48:53.000,2,6.27,1,N,132,134,2,22.5,1,0.5,0,0,0.3,24.3,0
1,2019-10-23T16:33:26.000,2019-10-23T17:07:18.000,1,2.60,1,N,43,164,1,20.5,3.5,0.5,4.95,0,0.3,29.75,2.5
2,2019-10-23T16:22:16.000,2019-10-23T17:27:17.000,1,15.79,2,N,161,132,2,52,4.5,0.5,0,6.12,0.3,65.92,2.5
1,2019-10-23T16:10:47.000,2019-10-23T16:17:59.000,1,0.70,1,Y,236,263,2,6,3.5,0.5,0,0,0.3,10.3,2.5
1,2019-10-23T16:58:34.000,2019-10-23T17:08:19.000,1,1.40,1,N,159,167,1,8,1,0.5,0,0,0.3,9.8,0
2,2019-10-23T16:16:03.000,2019-10-23T16:39:49.000,1,0.67,1,N,170,100,1,14.5,1,0.5,3.2,0,0.3,22,2.5
2,2019-10-23T16:49:59.000,2019-10-23T17:49:32.000,1,16.74,3,N,68,1,1,71,1,0,27.62,19.75,0.3,119.67,0
2,2019-10-23T16:31:46.000,2019-10-23T16:45:04.000,1,0.61,1,N,163,229,2,9,1,0.5,0,0,0.3,13.3,2.5
2,2019-10-23T16:50:39.000,2019-10-23T17:06:07.000,1,2.55,1,N,229,75,1,12.5,1,0.5,3.36,0,0.3,20.16,2.5
2,2019-10-23T16:49:35.000,2019-10-23T16:56:37.000,1,1.20,1,N,170,234,1,7,1,0.5,1,0,0.3,12.3,2.5
2,2019-10-23T16:59:18.000,2019-10-23T17:45:25.000,1,3.86,1,N,90,13,2,27.5,1,0.5,0,0,0.3,31.8,2.5
1,2019-10-23T16:25:38.000,2019-10-23T16:52:41.000,1,2.80,1,N,148,164,2,17.5,3.5,0.5,0,0,0.3,21.8,2.5
2,2019-10-23T16:20:17.000,2019-10-23T17:03:18.000,1,9.07,1,N,138,216,2,33,1,0.5,0,0,0.3,37.3,2.5
2,2019-10-23T16:02:13.000,2019-10-23T16:30:43.000,5,3.32,1,N,107,140,2,18.5,1,0.5,0,0,0.3,22.8,2.5
1,2019-10-23T16:55:05.000,2019-10-23T16:59:04.000,3,0.90,1,N,236,43,1,5.5,3.5,0.5,1,0,0.3,10.8,2.5
2,2019-10-23T16:16:10.000,2019-10-23T16:24:20.000,1,1.17,1,N,125,158,2,7,1,0.5,0,0,0.3,11.3,2.5
2,2019-10-23T16:52:26.000,2019-10-23T17:01:18.000,1,1.23,1,N,158,234,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:45:08.000,2019-10-23T17:45:07.000,3,12.59,5,N,130,234,1,80,0,0,0,0,0.3,82.8,2.5
2,2019-10-23T16:10:50.000,2019-10-23T16:29:10.000,1,3.42,1,N,107,262,1,14,1,0.5,3.66,0,0.3,21.96,2.5
2,2019-10-23T16:31:00.000,2019-10-23T16:48:38.000,1,2.20,1,N,262,238,1,12.5,1,0.5,2,0,0.3,18.8,2.5
2,2019-10-23T16:53:19.000,2019-10-23T17:05:56.000,1,2.37,1,N,151,74,2,10.5,1,0.5,0,0,0.3,12.3,0
1,2019-10-23T16:24:32.000,2019-10-23T16:53:23.000,4,6.20,1,N,261,141,2,25,3.5,0.5,0,0,0.3,29.3,2.5
2,2019-10-23T16:08:14.000,2019-10-23T16:14:56.000,2,0.97,1,N,140,262,1,6,1,0.5,2.58,0,0.3,12.88,2.5
2,2019-10-23T16:22:20.000,2019-10-23T16:25:30.000,2,0.41,1,N,262,202,2,4,1,0.5,0,0,0.3,8.3,2.5
2,2019-10-23T16:28:16.000,2019-10-23T16:40:38.000,2,1.23,1,N,262,262,1,9,1,0.5,2.66,0,0.3,15.96,2.5
2,2019-10-23T16:48:12.000,2019-10-23T16:50:01.000,2,0.35,1,N,262,236,1,3.5,1,0.5,0.78,0,0.3,8.58,2.5
2,2019-10-23T16:57:14.000,2019-10-23T17:12:14.000,2,2.65,1,N,236,166,1,11.5,1,0.5,3.95,0,0.3,19.75,2.5
2,2019-10-23T16:16:37.000,2019-10-23T17:19:02.000,2,21.04,2,N,132,231,1,52,4.5,0.5,8,6.12,0.3,73.92,2.5
2,2019-10-23T16:27:34.000,2019-10-23T16:36:41.000,1,1.77,1,N,13,158,1,9,1,0.5,2.66,0,0.3,15.96,2.5
2,2019-10-23T16:44:58.000,2019-10-23T16:53:11.000,4,1.41,1,N,114,234,1,7.5,1,0.5,2.36,0,0.3,14.16,2.5
2,2019-10-23T16:33:41.000,2019-10-23T16:55:12.000,1,1.18,1,N,230,237,1,13.5,1,0.5,5.34,0,0.3,23.14,2.5
2,2019-10-23T16:26:46.000,2019-10-23T16:44:56.000,2,1.58,1,N,68,161,1,12.5,1,0.5,5.04,0,0.3,21.84,2.5
2,2019-10-23T16:47:13.000,2019-10-23T17:10:35.000,2,1.25,1,N,170,230,2,14.5,1,0.5,0,0,0.3,18.8,2.5
2,2019-10-23T16:03:43.000,2019-10-23T16:07:39.000,1,0.54,1,N,13,231,1,4.5,1,0.5,1.76,0,0.3,10.56,2.5
2,2019-10-23T16:17:29.000,2019-10-23T16:47:00.000,2,3.62,1,N,13,48,1,20.5,1,0.5,4.96,0,0.3,29.76,2.5
2,2019-10-23T16:58:48.000,2019-10-23T17:07:48.000,2,0.94,1,N,100,163,1,7,1,0.5,2.26,0,0.3,13.56,2.5
2,2019-10-23T16:15:08.000,2019-10-23T16:27:21.000,1,1.17,1,N,236,141,1,9,1,0.5,1,0,0.3,14.3,2.5
2,2019-10-23T16:34:42.000,2019-10-23T16:45:50.000,1,1.08,1,N,262,141,2,8.5,1,0.5,0,0,0.3,12.8,2.5
2,2019-10-23T16:48:37.000,2019-10-23T17:08:53.000,1,1.74,1,N,141,161,1,13.5,1,0.5,2,0,0.3,19.8,2.5
2,2019-10-23T16:17:13.000,2019-10-23T16:27:04.000,4,1.85,1,N,233,79,1,8.5,1,0.5,2.56,0,0.3,15.36,2.5
2,2019-10-23T16:29:59.000,2019-10-23T16:40:08.000,5,1.35,1,N,79,249,1,8,1,0.5,2.46,0,0.3,14.76,2.5
2,2019-10-23T16:45:06.000,2019-10-23T16:58:51.000,5,0.94,1,N,68,100,2,9.5,1,0.5,0,0,0.3,13.8,2.5
1,2019-10-23T16:06:34.000,2019-10-23T16:26:08.000,2,1.90,1,N,162,142,2,13,3.5,0.5,0,0,0.3,17.3,2.5
1,2019-10-23T16:27:21.000,2019-10-23T16:43:06.000,2,2.20,1,N,48,141,1,12,3.5,0.5,3.25,0,0.3,19.55,2.5
1,2019-10-23T16:46:01.000,2019-10-23T17:17:07.000,2,5.70,1,N,141,144,1,25.5,3.5,0.5,7.45,0,0.3,37.25,2.5
1,2019-10-23T16:03:45.000,2019-10-23T16:15:06.000,1,1.60,1,N,238,236,1,9,3.5,0.5,2,0,0.3,15.3,2.5
1,2019-10-23T16:24:21.000,2019-10-23T16:37:50.000,1,1.30,1,N,236,163,1,9.5,3.5,0.5,2.76,0,0.3,16.56,2.5
1,2019-10-23T16:38:47.000,2019-10-23T16:51:40.000,1,0.80,1,N,163,237,1,9,3.5,0.5,2,0,0.3,15.3,2.5
1,2019-10-23T16:55:29.000,2019-10-23T17:02:29.000,1,0.90,1,N,237,162,1,6.5,3.5,0.5,2.15,0,0.3,12.95,2.5
1,2019-10-23T16:32:06.000,2019-10-23T16:55:51.000,3,2.20,1,N,262,237,1,15.5,3.5,0.5,3.96,0,0.3,23.76,2.5
1,2019-10-23T16:59:08.000,2019-10-23T17:06:46.000,1,0.80,1,N,264,233,1,6.5,3.5,0.5,2.15,0,0.3,12.95,2.5
1,2019-10-23T16:34:03.000,2019-10-23T16:38:55.000,1,0.80,1,N,238,238,1,5.5,3.5,0.5,1,0,0.3,10.8,2.5
1,2019-10-23T16:46:34.000,2019-10-23T16:50:39.000,2,0.80,1,N,239,238,1,5,3.5,0.5,1.86,0,0.3,11.16,2.5
1,2019-10-23T16:58:09.000,2019-10-23T17:13:19.000,1,2.20,1,N,239,236,1,12,3.5,0.5,3.25,0,0.3,19.55,2.5
2,2019-10-23T16:15:03.000,2019-10-23T16:22:26.000,4,1.43,1,N,151,166,1,7,1,0.5,1.76,0,0.3,10.56,0
2,2019-10-23T16:26:32.000,2019-10-23T16:29:48.000,3,0.83,1,N,151,238,1,5,1,0.5,1.36,0,0.3,8.16,0
2,2019-10-23T16:42:40.000,2019-10-23T17:00:41.000,3,1.43,1,N,237,229,1,12,1,0.5,3,0,0.3,19.3,2.5
1,2019-10-23T16:57:49.000,2019-10-23T17:03:20.000,1,0.60,1,N,234,224,1,5.5,3.5,0.5,2.9,0,0.3,12.7,2.5
1,2019-10-23T16:04:42.000,2019-10-23T16:29:00.000,1,3.20,1,N,164,211,1,16.5,3.5,0.5,4.15,0,0.3,24.95,2.5
1,2019-10-23T16:38:28.000,2019-10-23T17:01:39.000,1,2.10,1,N,234,163,2,14.5,3.5,0.5,0,0,0.3,18.8,2.5
1,2019-10-23T16:10:49.000,2019-10-23T16:23:04.000,1,0.40,1,N,170,170,1,8.5,3.5,0.5,2,0,0.3,14.8,2.5
