year,month,day_of_month,day_of_week,departure_time,arrival_time,carrier,flight_number,total_flight_time,origin_airport,dest_airport,distance,delay
2007,4,25,3,1845,2028,CO,1187,179,EWR,ORD,719,96
2007,9,13,4,1445,1725,WN,817,90,BNA,BWI,588,-3
2007,4,19,4,1050,1205,WN,2047,81,ONT,SMF,389,6
2007,10,23,2,1910,2056,UA,547,185,BOS,ORD,867,12
2007,8,19,7,1750,1959,NW,524,203,JAX,MSP,1174,109
2007,4,21,6,600,921,UA,764,141,PDX,DEN,992,2
2007,7,9,1,1930,2122,XE,2912,125,ATL,CLE,554,7
2007,6,5,2,600,821,FL,662,133,HPN,ATL,780,-12
2007,12,23,7,600,721,EV,4847,95,CRW,ATL,363,14
2007,7,5,4,2105,138,YV,2885,153,PHX,IAH,1009,8
2007,10,27,6,1740,1830,WN,735,106,DEN,PHX,602,-8
2007,5,30,3,705,705,MQ,4120,64,TVC,ORD,224,1
2007,2,15,4,1145,1232,HA,383,47,ITO,HNL,216,65
2007,4,4,3,1022,1255,NW,478,161,DTW,TPA,983,139
2007,7,25,3,1715,1831,UA,1199,59,IAD,RDU,224,-18
2007,4,15,7,630,1110,CO,852,200,AUS,EWR,1504,-18
2007,8,30,4,2150,10,WN,630,71,BNA,RDU,443,10
2007,5,15,2,1100,1225,OO,3717,80,SLC,COD,298,-4
2007,11,12,1,810,1045,AS,401,161,BUR,SEA,937,4
2007,3,29,4,1756,1900,OO,5704,69,SBA,SJC,234,3
2007,2,12,1,645,801,UA,298,86,BUR,SFO,326,4
2007,3,6,2,1955,2230,AS,119,198,SEA,ANC,1449,-12
2007,2,24,6,1600,1910,DL,830,194,RSW,BOS,1249,-2
2007,12,22,6,937,1155,XE,7768,90,LAX,PHX,370,35
2007,9,18,2,830,930,WN,549,54,SEA,GEG,224,-5
2007,12,27,4,945,1258,US,1157,224,PHL,RSW,992,61
2007,11,20,2,1314,1614,NW,243,183,FLL,DTW,1127,0
2007,8,15,3,1645,1730,MQ,3037,47,LAX,SBA,89,1
2007,11,18,7,1425,1530,WN,416,65,LAX,LAS,236,34
2007,7,26,4,1355,1636,AS,117,148,LAX,SEA,954,78
2007,5,14,1,740,929,US,1219,157,CLT,DFW,936,-10
2007,11,19,1,2215,555,AS,854,335,LIH,SEA,2701,-3
2007,8,3,5,626,759,OH,4989,97,MDT,CVG,429,4
2007,4,11,3,1335,2021,US,1546,215,PHX,CLT,1774,10
2007,12,21,5,800,837,HA,116,31,HNL,OGG,100,-7
2007,3,17,6,1052,1217,FL,683,138,ATL,ICT,781,-12
2007,1,12,5,920,1110,9E,5750,101,MEM,IAH,469,-10
2007,1,23,2,1105,1216,YV,7190,60,IAD,EWR,213,-11
2007,12,4,2,1820,1956,EV,4932,99,MLB,ATL,443,-3
2007,11,20,2,1949,2121,YV,2670,110,CLT,CLE,430,21
2007,8,22,3,1930,2118,9E,4761,106,RDU,IND,489,-11
2007,2,13,2,600,548,YV,7285,65,SBN,ORD,84,16
2007,5,22,2,1629,1800,NW,1421,87,VPS,MEM,369,321
2007,8,11,6,925,1101,NW,217,220,MSP,PDX,1426,3
2007,9,16,7,1000,1100,WN,15,59,DAL,HOU,239,0
2007,7,4,3,1625,1920,CO,709,229,JFK,IAH,1417,-12
2007,8,24,5,2130,2310,WN,1733,97,PDX,OAK,543,111
2007,12,19,3,2230,2331,UA,710,52,SFO,RNO,192,-9
2007,11,2,5,550,632,YV,2728,90,SLC,PHX,507,-12
2007,2,7,3,1614,2220,US,98,307,ANC,LAS,2304,0
2007,10,17,3,1005,1525,WN,1694,183,PHX,MDW,1444,-18
2007,4,6,5,1055,1315,WN,2586,76,BNA,CLE,448,13
2007,8,13,1,1035,1619,UA,402,208,DEN,LGA,1619,-16
2007,8,19,7,855,945,9E,2927,62,DTW,MBS,98,26
2007,2,19,1,1015,1335,NW,1698,140,MSP,CLT,930,10
2007,9,11,2,600,920,AA,2103,136,IAH,MIA,964,-7
2007,3,21,3,1905,2015,WN,735,58,PHX,SAN,304,-5
2007,11,8,4,1651,1802,FL,644,88,PHF,LGA,288,36
2007,2,10,6,1239,1358,OO,6188,68,SFO,BFL,238,-12
2007,7,22,7,728,1020,YV,2908,100,PHX,DEN,602,60
2007,10,31,3,1330,1435,MQ,4667,58,DCA,RDU,227,3
2007,2,1,4,917,1040,NW,557,81,MKE,MSP,297,-9
2007,11,27,2,1245,1405,WN,449,80,OKC,HOU,419,-3
2007,3,26,1,605,733,OO,3763,90,MSO,SLC,436,-10
2007,4,20,5,1117,1237,NW,1565,121,DCA,MEM,762,-16
2007,7,13,5,1708,1834,9E,5694,76,MSP,BIS,386,-15
2007,2,2,5,1742,1858,UA,329,120,DEN,SAN,853,78
2007,3,10,6,1900,2106,NW,1165,136,MSP,BNA,695,4
2007,8,28,2,1855,2000,WN,842,64,JAX,FLL,318,9
2007,7,25,3,1330,1553,US,1678,147,FLL,DCA,899,4
2007,8,28,2,2012,2052,OO,5516,47,SFO,SMF,86,10
2007,1,31,3,1500,1845,AA,1720,146,DFW,IAD,1172,48
2007,8,3,5,1025,1120,AA,898,68,DFW,OKC,175,9
2007,1,7,7,2120,2240,WN,356,74,SAN,SJC,417,1
2007,7,15,7,1444,1618,FL,701,103,DAY,ATL,432,11
2007,1,12,5,1950,2212,OH,5394,124,LGA,CHS,641,42
2007,7,9,1,1310,1809,XE,310,167,ONT,AUS,1197,-12
2007,4,18,3,830,935,MQ,3556,62,AMA,DFW,313,-8
2007,9,20,4,1126,1634,US,295,194,LAS,MSP,1300,6
2007,6,18,1,1300,1354,OO,5622,53,LAX,SAN,109,-4
2007,7,24,2,910,1245,MQ,3727,162,DFW,GSO,999,26
2007,2,1,4,1440,1629,NW,315,243,MSP,LAX,1536,60
2007,9,13,4,1210,1500,AA,1790,115,DEN,DFW,641,60
2007,3,11,7,1341,1537,NW,467,123,DTW,ATL,594,39
2007,6,15,5,1200,1437,XE,2932,112,STL,CLE,487,117
2007,11,29,4,1725,1920,AA,2289,119,STL,DFW,551,69
2007,1,5,5,1700,1817,OO,3813,68,HLN,SLC,402,-4
2007,10,1,1,1824,2111,UA,530,93,ORD,GSO,590,-13
2007,6,25,1,1700,1856,DL,1690,147,ATL,IAD,533,122
2007,1,17,3,716,1007,OH,5118,114,TUL,CVG,646,3
2007,12,23,7,1010,1110,MQ,3370,71,FSM,DFW,228,44
2007,10,31,3,1630,1745,WN,289,70,MDW,BNA,395,-5
2007,7,8,7,1527,1821,NW,1107,171,RSW,DTW,1085,-7
2007,3,27,2,1343,1615,AS,488,141,PDX,SNA,859,-15
2007,3,21,3,945,1239,B6,41,160,JFK,MCO,944,-18
2007,3,13,2,1800,1915,US,2185,61,LGA,DCA,214,68
2007,8,5,7,1630,1911,US,1928,156,RSW,PHL,992,-12
2007,9,3,1,1050,1324,AS,311,151,LGB,SEA,965,-11
2007,5,5,6,1350,1419,AQ,94,31,LIH,HNL,102,-25
2007,8,6,1,1300,1636,NW,1430,157,MSP,ATL,906,0
2007,5,22,2,1347,1535,9E,5811,115,DTW,CAE,583,4
2007,2,20,2,840,904,OO,5850,109,DAY,ORD,240,15
2007,7,31,2,1022,1125,XE,2964,51,BWI,EWR,169,41
2007,12,28,5,1705,2010,9E,3791,121,BHM,DTW,625,50
2007,10,19,5,2000,2058,9E,2915,51,DTW,FWA,128,20
2007,6,17,7,2110,2258,NW,321,226,MSP,LAX,1536,40
2007,9,22,6,600,716,UA,444,66,MSP,ORD,334,90
2007,8,19,7,915,1100,WN,832,295,MDW,LAS,1521,109
2007,9,14,5,855,933,UA,1279,87,ICT,DEN,419,-17
2007,2,3,6,1330,1648,CO,786,125,IAH,MCO,853,-10
2007,6,9,6,1216,1323,EV,4330,62,ATL,TRI,227,70
2007,1,19,5,830,1023,NW,187,185,RDU,MSP,981,7
2007,7,7,6,1619,1849,US,456,99,PHX,SLC,507,10
2007,12,3,1,1601,1837,OO,6678,97,DEN,BIS,517,2
2007,4,29,7,1645,1805,US,1139,72,BWI,CLT,361,-1
2007,5,29,2,1540,1915,XE,2109,142,IAH,CLT,913,43
2007,6,25,1,825,1118,CO,1402,327,EWR,LAX,2454,-19
2007,7,10,2,1129,1613,US,390,182,LAS,DFW,1055,19
2007,9,15,6,1048,1243,DL,545,252,ATL,SLC,1589,15
2007,4,4,3,1155,1532,EV,4491,134,SAT,CVG,1024,78
2007,5,14,1,630,735,OO,4002,58,BOI,SLC,291,-17
2007,9,5,3,1515,1830,F9,412,137,LAX,DEN,862,61
2007,2,23,5,1110,1424,UA,814,130,LAX,DEN,862,-8
2007,4,15,7,600,820,UA,101,251,ORD,LAX,1745,-11
2007,9,26,3,1400,1507,US,2130,65,LGA,BOS,185,-6
2007,7,22,7,1420,1747,AA,828,169,DFW,CLT,936,79
2007,5,5,6,1710,1940,AA,857,145,MSP,DFW,852,-10
2007,7,2,1,1450,1637,EV,4794,100,ATL,AZO,596,3
2007,8,15,3,2058,2231,OO,3872,93,SLC,COS,410,13
2007,8,14,2,1225,1500,DL,592,84,LIT,ATL,453,-15
2007,8,20,1,600,752,NW,1223,145,LGA,DTW,501,32
2007,6,12,2,1921,2220,FL,298,168,HOU,ATL,696,59
2007,3,11,7,2225,2326,NW,120,71,MSP,MKE,297,21
2007,2,24,6,1505,1620,MQ,4818,53,BOS,LGA,185,1
2007,12,10,1,1005,1525,AA,1962,214,SJC,DFW,1438,14
2007,5,10,4,1050,1257,DL,1298,113,CVG,BOS,752,-11
2007,3,21,3,1135,1355,MQ,3709,139,DFW,MKE,853,-2
2007,8,17,5,1110,1945,B6,96,576,OAK,JFK,2576,60
2007,6,7,4,1100,1820,DL,448,237,ONT,ATL,1900,-6
2007,12,30,7,955,1225,AA,1739,207,DCA,DFW,1192,-11
2007,10,8,1,605,829,US,1751,138,MHT,CLT,737,-8
2007,9,8,6,1410,1635,AA,1493,261,ORD,LAX,1745,17
2007,12,9,7,1535,1720,AA,1827,212,DFW,SMF,1431,2
2007,7,26,4,1535,1635,AA,2167,54,AUS,DFW,190,-6
2007,7,26,4,1755,2017,US,1696,144,RSW,DCA,892,2
2007,12,9,7,1620,1654,OO,5845,82,TUS,LAX,451,-12
2007,10,6,6,700,945,B6,26,191,FLL,JFK,1069,83
2007,1,21,7,1125,1152,YV,2681,90,CLT,BHM,351,3
2007,5,17,4,1400,1515,AA,1787,132,IND,DFW,762,-8
2007,1,18,4,555,915,YV,2920,155,MRY,PHX,598,25
2007,3,2,5,1905,44,US,239,203,PHX,DTW,1671,128
2007,10,17,3,1806,1944,DL,1196,93,ATL,PIT,526,-10
2007,8,13,1,700,805,XE,2725,110,CHA,IAH,686,-20
2007,7,10,2,1343,1911,FL,349,196,LAS,MKE,1524,-13
2007,1,4,4,1918,1941,DL,1549,88,ATL,MOB,302,45
2007,12,27,4,640,803,DL,1059,151,ATL,DFW,732,7
2007,2,6,2,1605,1750,AA,1757,101,STL,MSY,604,-7
2007,9,22,6,1620,1739,9E,5622,68,OMA,MSP,282,-18
2007,7,11,3,1210,1310,MQ,4212,43,ORD,CID,196,-12
2007,4,24,2,955,1235,WN,617,155,TPA,BUF,1054,-5
2007,12,29,6,855,1000,WN,2641,56,LAX,LAS,236,-4
2007,8,8,3,1410,1830,AA,1374,199,ORD,MIA,1197,7
2007,1,4,4,1354,1758,FL,870,188,MSP,MCO,1310,-3
2007,2,3,6,1505,1657,DL,1613,124,RIC,ATL,481,3
2007,5,2,3,1415,1633,EV,4714,75,JAN,ATL,341,-13
2007,9,12,3,1410,1525,AA,2445,194,DFW,LAX,1235,-4
2007,7,27,5,1455,1605,WN,1139,64,RNO,LAS,345,-6
2007,7,15,7,1640,1810,MQ,4080,81,ORD,BNA,409,-1
2007,9,24,1,1820,1911,HA,362,44,HNL,ITO,216,-10
2007,5,20,7,2105,2206,OH,5017,61,CVG,CHA,278,-1
2007,6,29,5,730,1009,CO,167,262,IAH,SEA,1874,-18
2007,5,16,3,1955,2340,WN,2897,155,MDW,RSW,1105,-7
2007,8,20,1,1001,1240,OH,5260,99,MCI,CVG,539,59
2007,7,31,2,800,1000,DL,1547,116,DTW,ATL,594,-6
2007,12,4,2,2105,2335,F9,203,84,DEN,TUL,541,-16
2007,12,21,5,826,1140,9E,5922,131,MEM,RSW,763,6
2007,10,13,6,1415,1541,OO,5415,75,MRY,LAX,267,18
2007,4,8,7,830,949,CO,1123,65,BOS,EWR,200,-19
2007,3,6,2,2355,853,US,125,343,HNL,PHX,2917,0
2007,8,23,4,2100,2328,AS,89,212,SEA,ANC,1449,1
2007,1,21,7,1745,1945,OO,3798,132,SLC,ELP,693,13
2007,10,16,2,1730,1950,F9,511,275,LGA,DEN,1619,12
2007,10,10,3,830,835,WN,1174,57,DTW,MDW,229,-11
2007,6,13,3,1630,1717,OO,3767,103,SLC,TUS,601,52
2007,6,7,4,655,835,OH,5523,110,LGA,RDU,431,10
2007,11,9,5,1820,2010,XE,307,115,AUS,MCI,650,-3
2007,2,2,5,1750,2015,DL,1174,157,BOS,CVG,752,14
2007,10,17,3,1340,1522,FL,64,103,ATL,IAD,533,-2
2007,4,8,7,1945,2210,WN,702,129,HOU,MDW,937,-18
2007,11,2,5,600,720,XE,7827,80,LAX,SFO,337,-1
2007,4,22,7,1535,1635,XE,2685,55,IAH,GRK,166,-12
2007,8,26,7,1251,1451,EV,4737,112,SBN,ATL,566,16
2007,7,13,5,800,959,CO,1785,119,MCI,IAH,643,-7
2007,9,5,3,735,1005,WN,1578,147,MCO,BUF,1011,-7
2007,7,7,6,1825,2142,OO,6846,138,SFO,ASE,848,-6
2007,4,17,2,600,815,XE,2518,81,MKE,CLE,328,-2
2007,3,21,3,1725,1845,WN,590,90,OMA,MDW,423,121
2007,7,17,2,1740,1905,WN,1063,77,OAK,SAN,446,17
2007,11,4,7,1100,1230,DL,775,80,IND,ATL,432,-15
2007,6,9,6,1241,1418,NW,341,104,DCA,DTW,405,20
2007,11,27,2,1025,1243,UA,1198,75,DEN,OMA,472,-4
2007,11,29,4,1000,1225,OO,5900,78,DEN,LNK,423,-13
2007,5,6,7,1841,2132,YV,7364,102,ORD,GSP,577,-5
2007,2,12,1,725,845,WN,1955,129,ORF,MDW,704,-7
2007,3,22,4,1935,2035,WN,59,72,AMA,DAL,324,12
2007,5,5,6,930,1058,YV,2823,87,SBA,PHX,455,113
2007,7,1,7,740,1239,CO,282,221,IAH,BOS,1597,-5
2007,12,4,2,1855,2240,CO,644,171,IAH,CLE,1091,1
2007,11,28,3,1000,1241,OO,6541,92,DEN,BIS,517,20
2007,12,27,4,1010,1302,NW,1705,109,MSP,DTW,528,5
2007,7,7,6,1415,1655,OH,5279,173,FLL,CMH,972,-2
2007,7,26,4,1438,1605,EV,4353,77,CRW,ATL,363,-10
2007,12,19,3,1430,1815,AA,1758,155,STL,MIA,1068,-11
2007,8,23,4,1930,2245,WN,1953,132,OAK,ABQ,889,-5
2007,3,12,1,1548,1936,NW,1628,159,IAH,DTW,1076,-7
2007,9,12,3,630,1210,AA,1296,215,PDX,DFW,1616,-3
2007,4,5,4,1926,2019,EV,4193,41,ATL,MCN,79,-12
2007,4,5,4,645,805,XE,2308,79,DCA,CLE,310,-9
2007,3,21,3,800,902,XE,2189,61,IAH,DAL,217,-2
2007,10,14,7,1145,1310,XE,7768,87,PHX,LAX,370,-5
2007,10,21,7,2259,410,US,290,188,LAS,MSP,1300,9
2007,9,29,6,1650,1805,MQ,4115,70,DSM,ORD,299,-10
2007,9,25,2,1340,1830,AA,1100,148,SAN,DFW,1171,-23
2007,4,21,6,900,1015,WN,833,67,LAX,OAK,337,-9
2007,1,18,4,1155,1340,MQ,3870,114,STL,DAL,546,2
2007,11,1,4,1535,1640,AA,1956,114,DCA,ORD,612,-12
2007,8,5,7,840,1136,EV,4825,116,IAH,ATL,689,-4
2007,10,8,1,849,1410,NW,218,205,PDX,MSP,1426,-2
2007,5,29,2,700,955,WN,1625,157,ISP,FLL,1093,-16
2007,11,24,6,1600,12,UA,28,309,LAX,JFK,2475,5
2007,2,1,4,2130,2231,YV,2699,80,CLT,SAV,213,74
2007,6,19,2,2008,2119,OO,2014,185,ATL,COS,1185,0
2007,3,1,4,905,1241,UA,53,315,SFO,KOA,2367,-16
2007,3,12,1,1145,1332,FL,191,109,RSW,ATL,515,1
2007,2,4,7,1915,2156,US,706,152,FLL,PHL,992,34
2007,6,25,1,1105,1203,YV,2680,52,CHS,CLT,168,-6
2007,5,9,3,1820,2225,WN,693,124,PHX,AUS,872,-2
2007,8,12,7,1345,1618,FL,280,129,ATL,BOS,946,-25
2007,1,27,6,745,845,MQ,3271,55,DFW,SPS,113,-10
2007,9,23,7,1119,1238,OO,3706,86,SLC,SGU,269,9
2007,9,17,1,1335,1513,DL,1032,96,ATL,PIT,526,-6
2007,1,26,5,1013,1152,OO,3814,101,SLC,COS,410,20
2007,4,16,1,850,940,MQ,4219,62,ORD,GRB,174,7
2007,9,12,3,630,807,XE,2743,81,CLE,CLT,430,-24
2007,6,7,4,557,1253,NW,256,234,PHX,DTW,1671,-8
2007,6,2,6,1520,1700,WN,641,99,MDW,LIT,544,19
2007,1,28,7,655,750,CO,340,79,AUS,IAH,140,17
2007,10,10,3,1700,1800,9E,5601,75,BJI,MSP,199,11
2007,9,26,3,1300,1432,XE,2616,81,RIC,EWR,278,-15
2007,2,11,7,1650,2025,B6,91,222,JFK,OAK,2576,7
2007,8,6,1,715,1010,DL,1686,111,LAX,SLC,590,67
2007,12,31,1,1625,1815,XE,2207,111,ICT,IAH,542,3
2007,7,12,4,1320,1529,US,595,146,PDX,LAS,762,21
2007,7,22,7,1425,1537,US,1509,238,CLT,PHX,1774,-11
2007,2,17,6,1630,1730,OH,5154,129,CVG,MSP,596,17
2007,9,16,7,1810,2120,AA,119,385,EWR,LAX,2454,12
2007,7,23,1,1930,2007,HA,556,35,HNL,OGG,100,-3
2007,10,7,7,1000,1005,MQ,4359,52,TOL,ORD,214,-15
2007,9,14,5,1210,1315,EV,4203,70,ATL,TLH,223,5
2007,11,2,5,705,820,WN,748,76,MCI,MDW,405,-3
2007,4,24,2,835,1045,HA,11,145,SFO,HNL,2398,8
2007,8,3,5,2020,2255,US,503,319,CLT,PDX,2282,93
2007,6,28,4,1057,1218,9E,2885,74,LNK,MSP,331,-12
2007,3,29,4,2050,2215,WN,377,79,RNO,PDX,444,-3
2007,11,24,6,2012,2059,F9,819,96,MCI,DEN,533,-13
2007,1,24,3,1650,1927,XE,2901,231,ORF,IAH,1201,10
2007,12,7,5,1515,1633,EV,4261,76,CVG,CAE,404,-2
2007,12,19,3,2111,4,NW,1108,166,DTW,RSW,1085,-7
2007,1,22,1,1101,1207,OO,6527,133,BOI,LAX,674,22
2007,5,26,6,700,919,NW,1402,79,ORD,DTW,235,-2
2007,11,10,6,1712,1806,NW,328,62,GRR,DTW,120,-1
2007,8,1,3,1245,2035,WN,672,290,LAS,BWI,2106,82
2007,10,5,5,740,830,WN,367,50,OAK,RNO,180,-1
2007,3,30,5,1340,1609,OO,3745,93,PSC,SLC,521,0
2007,11,15,4,600,745,MQ,4592,109,BOS,DCA,399,19
2007,6,13,3,1005,1205,MQ,4854,136,LGA,DTW,501,12
2007,10,23,2,1940,2255,MQ,4319,121,ORD,PVD,849,-12
2007,1,30,2,910,1405,AA,836,155,ONT,DFW,1189,-23
2007,3,21,3,2050,5,AA,612,132,DFW,TPA,929,-5
2007,7,15,7,1919,2015,OO,5611,57,LAX,SMX,135,3
2007,7,23,1,850,1132,CO,1005,181,EWR,JAX,821,26
2007,1,23,2,1253,1337,YV,2823,36,PHX,TUS,110,-7
2007,12,26,3,1820,2049,XE,2869,135,EWR,CVG,569,147
2007,9,8,6,1922,1950,9E,5805,80,DTW,EVV,364,-11
2007,10,11,4,2025,2230,MQ,4208,118,MIA,GSO,710,-10
2007,10,14,7,925,1121,EV,4626,66,MGM,ATL,147,10
2007,5,23,3,2140,2357,DL,1207,137,ATL,JFK,760,0
2007,8,16,4,2055,2245,AS,328,118,SEA,SMF,605,33
2007,7,1,7,630,905,XE,550,88,MCI,SDF,491,-16
2007,9,5,3,1120,1525,WN,797,133,LAS,MAF,796,19
2007,10,28,7,1430,1659,OO,3775,86,PSC,SLC,521,-17
2007,6,10,7,1715,1835,WN,590,72,OMA,MDW,423,2
2007,10,12,5,901,1704,US,12,279,PHX,JFK,2153,-11
2007,8,3,5,1110,1415,F9,685,129,DEN,SAT,794,35
2007,11,1,4,805,1540,DL,68,272,SFO,ATL,2139,-3
2007,7,27,5,2110,2205,MQ,3495,53,DFW,SHV,190,-2
2007,3,18,7,1820,2100,WN,221,141,FLL,BWI,925,-1
2007,9,23,7,1035,1305,AA,509,144,MSP,DFW,852,-7
2007,9,16,7,1400,1641,AS,117,209,SEA,ANC,1449,-13
2007,4,19,4,1539,1829,CO,246,163,IAH,ORD,925,-11
2007,5,8,2,645,1025,DL,1017,144,MSP,ATL,906,-28
2007,7,3,2,2050,2355,F9,214,132,DEN,AUS,775,9
2007,1,7,7,1600,1735,MQ,3077,78,LAX,MRY,267,-19
2007,11,25,7,850,950,WN,463,50,RNO,SJC,188,-9
2007,12,30,7,1240,1320,WN,3481,94,AUS,ELP,528,-4
2007,10,26,5,1455,1800,EV,4810,114,IAH,ATL,689,-12
2007,6,11,1,1935,2220,F9,780,107,LAS,DEN,629,8
2007,9,19,3,916,1011,OO,6047,44,MLI,ORD,139,-4
2007,6,4,1,1525,1625,WN,2167,77,DAL,SAT,248,61
2007,8,25,6,1935,2055,MQ,3688,76,BTR,DFW,383,-9
2007,8,3,5,1219,1350,YV,7410,85,IAD,DTW,383,-7
2007,4,29,7,1855,2011,CO,722,91,MSY,IAH,305,7
2007,2,27,2,1210,1230,WN,1746,76,SLC,LAS,368,104
2007,7,15,7,1046,1132,OO,5419,47,SMF,SFO,86,27
2007,4,26,4,1450,1730,WN,817,96,BNA,BWI,588,-3
2007,2,14,3,630,748,OH,5047,88,GRR,CVG,268,10
2007,11,1,4,1210,1310,9E,5717,113,RDU,MEM,634,-11
2007,8,21,2,1950,2035,WN,186,47,DAL,OKC,181,-3
2007,10,4,4,730,1014,OO,4004,120,SFO,SLC,599,16
2007,11,18,7,1730,1832,XE,2562,59,IAH,DAL,217,-7
2007,4,2,1,2105,2325,OO,6760,74,ORD,PIT,412,-7
2007,3,3,6,600,844,AS,81,227,SEA,ANC,1449,2
2007,7,23,1,1210,1327,NW,790,78,MKE,MSP,297,-8
2007,6,11,1,1200,1318,OO,5875,140,DEN,FAT,844,2
2007,5,6,7,600,802,CO,689,175,DTW,IAH,1076,-14
2007,2,25,7,1905,2030,WN,928,83,SAN,OAK,446,8
2007,9,23,7,1310,1601,NW,762,110,MSP,DTW,528,-6
2007,10,15,1,1300,1425,OO,4021,78,DEN,SLC,391,7
2007,5,30,3,2135,2223,NW,1585,56,DTW,AZO,113,136
2007,8,27,1,2050,2234,UA,509,153,DEN,SEA,1024,-12
2007,5,22,2,1110,1225,WN,1417,67,SMF,ONT,389,-11
2007,12,27,4,730,840,XE,23,183,OKC,ONT,1140,16
2007,8,17,5,1340,1630,WN,2226,112,LAX,ABQ,677,17
2007,10,19,5,700,1433,CO,1710,269,LAX,CLE,2053,-7
2007,5,24,4,1315,1450,B6,915,126,JFK,ORD,740,45
2007,10,18,4,1610,2100,AA,2008,157,SAN,DFW,1171,-17
